policy_id,location_id,postcode,latitude,longitude,region,country,occupancy_type,construction_type,year_built,building_value,contents_value,business_interruption_value,hazard_zone,total_insured_value
POL0000026,LOC0000026,AB96 2AB,55.89875890604069,-3.3043174783370546,Scotland,UK,Residential,Steel Frame,1907,454049.98,51776.31,0.0,Low,505826.29
POL0000027,LOC0000027,SW37 7UZ,51.59097593450489,-0.36456681452640294,Greater London,UK,Retail,Timber,2014,855797.48,462549.71,139029.19,Medium,1457376.38
POL0000028,LOC0000028,B84 4WW,52.509536698273024,-2.017084421130913,West Midlands,UK,Residential,Masonry,1907,187800.39,16653.92,0.0,Medium,204454.31
POL0000029,LOC0000029,HU4 6SM,53.70798017127614,-1.5185623161340485,Yorkshire and the Humber,UK,Residential,Reinforced Concrete,1933,551934.3,113461.77,0.0,Low,665396.07
POL0000030,LOC0000030,W13 4KU,51.51854642384876,0.16164613483962265,Greater London,UK,Residential,Mixed,1963,526285.78,84588.93,0.0,Medium,610874.71
POL0000031,LOC0000031,YO79 7JA,53.76701995044365,-1.682056432666741,Yorkshire and the Humber,UK,Residential,Masonry,1911,172874.98,24273.74,0.0,High,197148.72
POL0000032,LOC0000032,SE77 6BB,51.45657391537557,-0.39917236439957715,Greater London,UK,Residential,Masonry,1944,95054.82,20559.89,0.0,High,115614.71
POL0000033,LOC0000033,N42 6GH,51.40642489380133,0.6442403109678279,Greater London,UK,Residential,Masonry,1981,206869.78,24937.66,0.0,High,231807.44
POL0000034,LOC0000034,DE68 8GU,52.69924994700516,-1.2639894068741375,East Midlands,UK,Commercial,Masonry,1935,1257182.88,550679.45,287233.54,Low,2095095.87
POL0000035,LOC0000035,LE65 1AN,52.846303174284486,-1.2520252126528717,East Midlands,UK,Retail,Timber,1931,403359.77,101936.83,149884.96,Medium,655181.56
POL0000036,LOC0000036,,55.86055299351405,-3.08218876153602,Scotland,UK,Residential,Steel Frame,1957,173375.54,31449.95,0.0,Medium,204825.49
POL0000037,LOC0000037,RH36 3TR,50.9756509716103,-0.5839748404378382,South East,UK,Residential,Masonry,1929,517843.61,95285.66,0.0,Medium,613129.27
POL0000038,LOC0000038,EC75 5UN,51.684323183899814,-0.5998912027039912,Greater London,UK,Industrial,Masonry,1920,3355630.72,1477644.7,1852000.68,Low,6685276.1
POL0000039,LOC0000039,NR1 2XZ,51.605158363573324,0.34631258446626756,East of England,UK,Public Sector,Timber,1927,2231452.07,445063.63,153651.26,Low,2830166.96
POL0000040,LOC0000040,WA95 6KP,53.41285339080041,-1.2620890784975054,North West,UK,Residential,Masonry,1909,754000.09,103065.97,0.0,Low,857066.06
POL0000041,LOC0000041,W33 1JB,51.659311950192794,-0.8144840666889539,Greater London,UK,Residential,Mixed,1981,455180.69,46285.18,0.0,Low,501465.87
POL0000042,LOC0000042,ST8 1FV,52.29309645862773,-1.9106207257837338,West Midlands,UK,Residential,Steel Frame,1902,332864.59,61904.24,0.0,Low,394768.83
POL0000043,LOC0000043,SE91 4CN,51.57823139520347,-0.6272045669179607,Greater London,UK,Residential,Masonry,1920,148385.79,19075.82,0.0,Low,167461.61
POL0000044,LOC0000044,DH27 7XF,54.94050273616642,-1.8905028722920054,North East,UK,Residential,Masonry,1930,946031.92,102434.02,0.0,Low,1048465.94
POL0000045,LOC0000045,GU56 3GU,51.14544760247136,-0.8794536542543975,South East,UK,Public Sector,Reinforced Concrete,1998,3706414.29,1195462.46,517418.22,Low,5419294.97
POL0000046,LOC0000046,AL30 2BC,52.45718560856399,1.0371956852454154,East of England,UK,Residential,Timber,1966,687455.17,71338.97,0.0,Low,758794.14
POL0000047,LOC0000047,GU43 6SD,51.61532817831749,-1.1671004225933,South East,UK,Residential,Reinforced Concrete,1983,483109.79,105639.07,0.0,Medium,588748.86
POL0000048,LOC0000048,CV88 6VP,52.686273933209776,-1.7729593135203707,West Midlands,UK,Commercial,Masonry,1960,1967156.57,699363.1,367584.41,Low,3034104.08
POL0000049,LOC0000049,HU59 7UG,53.83830372722657,-1.7815433862466832,Yorkshire and the Humber,UK,Residential,Masonry,1936,453315.0,68757.46,0.0,Medium,522072.46
POL0000050,LOC0000050,SE3 7KV,51.36807468434437,-0.09952296427266946,Greater London,UK,Residential,Timber,1902,1462593.24,133105.91,0.0,High,1595699.15
POL0000051,LOC0000051,LE79 4NV,53.63796485075594,-1.0436278575652715,East Midlands,UK,Public Sector,Timber,1996,2160319.56,647113.93,166923.49,High,2974356.98
POL0000052,LOC0000052,DD3 2UT,55.78216721936992,-3.504607989088388,Scotland,UK,Residential,Masonry,1994,148553.26,15300.9,0.0,Low,163854.16
POL0000053,LOC0000053,DE46 4WD,52.81710534845626,-0.33072848993135495,East Midlands,UK,Retail,Masonry,1975,1557963.1,616224.96,261156.17,Low,2435344.23
POL0000054,LOC0000054,DL49 7WE,54.86650813913513,-1.2731891968480915,North East,UK,Residential,Masonry,1962,576097.33,84211.27,0.0,Medium,660308.6
POL0000055,LOC0000055,DN33 1BS,53.69554009126802,-1.4498498743137411,Yorkshire and the Humber,UK,Residential,Steel Frame,1902,1007641.6,185715.66,0.0,Low,1193357.26
POL0000056,LOC0000056,DE32 2RX,53.17648867672244,-1.375423082927771,East Midlands,UK,Retail,Masonry,1904,1128540.8,383774.28,286938.7,Low,1799253.78
POL0000057,LOC0000057,W56 5UB,51.327688736837224,0.5027704838930254,Greater London,UK,Residential,Timber,1974,213506.85,26189.63,0.0,High,239696.48
POL0000058,LOC0000058,N78 5CK,51.78288601057082,0.17285548110247673,Greater London,UK,Commercial,Masonry,1969,1014126.95,442006.32,127569.95,Very High,1583703.22
POL0000059,LOC0000059,W9 6ST,51.72763736207441,0.04703868555820487,Greater London,UK,Residential,Steel Frame,1971,208841.91,21204.6,0.0,High,230046.51
POL0000060,LOC0000060,BN58 2YV,52.01947722768902,-0.9614148452866804,South East,UK,Residential,Masonry,1938,174185.5,15822.35,0.0,High,190007.85
POL0000061,LOC0000061,BL9 5UY,53.64243346281626,-2.793946912865725,North West,UK,Commercial,Masonry,1945,1619306.61,532793.57,266500.13,High,2418600.31
POL0000062,LOC0000062,OX75 7DV,51.22351100775445,-1.4344112199373154,South East,UK,Commercial,Masonry,1981,591279.49,178058.58,60232.98,Very High,829571.05
POL0000063,LOC0000063,PA17 5CJ,56.31003780338452,-4.1582652577678845,Scotland,UK,Retail,Masonry,1920,750720.04,212290.28,135836.51,Low,1098846.83
POL0000064,LOC0000064,L76 3XD,53.36815319362924,-3.3802085090110365,North West,UK,Residential,Timber,1931,1083730.88,87743.84,0.0,High,1171474.72
POL0000065,LOC0000065,RG11 1UD,51.221739389265075,-1.164660600898109,South East,UK,Commercial,Masonry,1902,4158504.76,1692358.09,1126003.29,Medium,6976866.14
POL0000066,LOC0000066,HD58 6SC,54.18856390626233,-1.3983813830958463,Yorkshire and the Humber,UK,Residential,Mixed,1911,362962.48,74118.21,0.0,Medium,437080.69
POL0000067,LOC0000067,W88 2AG,51.27392037346789,0.27746621349809386,Greater London,UK,Commercial,Timber,1947,2056615.95,532509.13,716026.66,Low,3305151.74
POL0000068,LOC0000068,PA10 7FY,55.95829303126833,-3.174024593691244,Scotland,UK,Residential,Masonry,2006,488312.38,65841.46,0.0,Low,554153.84
POL0000069,LOC0000069,WC22 7JH,51.17045197782384,-0.503805211283193,Greater London,UK,Residential,Timber,1947,801824.5,168309.87,0.0,Low,970134.37
POL0000070,LOC0000070,BT47 3FP,54.36627275601525,-5.912444716201408,Northern Ireland,UK,Residential,Reinforced Concrete,1923,194285.31,29143.33,0.0,Medium,223428.64
POL0000071,LOC0000071,G87 5NE,55.97510800355459,-2.601544787860863,Scotland,UK,Residential,Reinforced Concrete,1948,273320.73,33430.78,0.0,Low,306751.51
POL0000072,LOC0000072,SE9 6AC,51.61501544702259,-1.156474963595401,Greater London,UK,Commercial,Mixed,1982,1235351.64,354912.04,233850.46,High,1824114.14
POL0000073,LOC0000073,N92 1AU,51.58073975660407,-0.6786062153436625,Greater London,UK,Residential,Reinforced Concrete,1986,390360.82,53456.95,0.0,Medium,443817.77
POL0000074,LOC0000074,EH58 8FM,55.68282814110877,-3.496924399256005,Scotland,UK,Commercial,Masonry,1906,5766419.38,1234137.66,1623964.78,High,8624521.82
POL0000075,LOC0000075,GL84 7AX,51.268765269416555,-3.110456768975315,South West,UK,Residential,Masonry,1987,581572.79,127200.73,0.0,Medium,708773.52
POL0000076,LOC0000076,,51.511474960966645,-3.1240048683345645,South West,UK,Residential,Timber,1983,461431.55,51858.45,0.0,Low,513290.0
POL0000077,LOC0000077,EH52 6RF,56.05316693002995,-2.3382509907165807,Scotland,UK,Residential,Steel Frame,1929,320056.52,67007.25,0.0,Low,387063.77
POL0000078,LOC0000078,EC20 4FK,51.13497946349846,-0.23571391564890443,Greater London,UK,Industrial,Masonry,1948,3340980.92,1000638.88,1930878.44,Medium,6272498.24
POL0000079,LOC0000079,L21 5NA,52.77423193849651,-2.3569554113286504,North West,UK,Public Sector,Masonry,1990,1021570.05,344198.96,121722.81,Low,1487491.82
POL0000080,LOC0000080,W3 3CW,51.68716080273681,0.1462429079157615,Greater London,UK,Residential,Mixed,1990,133309.08,24201.61,0.0,Medium,157510.69
POL0000081,LOC0000081,CF97 8AD,51.503261844479546,-2.841179898591589,Wales,UK,Residential,Mixed,1948,750265.5,93356.42,0.0,Medium,843621.92
POL0000082,LOC0000082,NR4 3DM,52.95339527006398,1.3682757812262878,East of England,UK,Residential,Masonry,1900,375888.57,76217.15,0.0,High,452105.72
POL0000083,LOC0000083,BN96 5JB,51.308194139765305,-1.5295195148573606,South East,UK,Commercial,Masonry,2008,369061.73,59588.56,38368.57,Low,467018.86
POL0000084,LOC0000084,WC1 8XH,51.39347760335933,-0.4874534509345923,Greater London,UK,Commercial,Reinforced Concrete,1906,2148864.09,550130.55,353939.69,Medium,3052934.33
POL0000085,LOC0000085,RH39 7JK,51.5808773134021,-1.4269535449832094,South East,UK,Residential,Masonry,1916,333625.97,72874.08,0.0,Medium,406500.05
POL0000086,LOC0000086,GU40 1RD,51.43410971887471,-0.659654659276202,South East,UK,Residential,Reinforced Concrete,1941,224831.76,31279.89,0.0,High,256111.65
POL0000087,LOC0000087,GL41 3TC,51.426305155611196,-2.9474992526441626,South West,UK,Industrial,Masonry,1930,1285311.94,362415.09,468093.55,Low,2115820.58
POL0000088,LOC0000088,IP60 3UY,52.56944793612399,0.0035872409935456817,East of England,UK,Residential,Steel Frame,2000,372084.96,73266.22,0.0,High,445351.18
POL0000089,LOC0000089,CF60 3PC,51.38981738435431,-3.1949308088849073,Wales,UK,Commercial,Masonry,1912,1448213.0,400011.94,551132.07,High,2399357.01
POL0000090,LOC0000090,CV53 4RZ,52.490654424351895,-1.8218114986903293,West Midlands,UK,Residential,Reinforced Concrete,1910,261841.83,48278.28,0.0,Low,310120.11
POL0000091,LOC0000091,SE93 4CC,51.67812314954666,-0.1410548268372333,Greater London,UK,Commercial,Masonry,1927,2212806.98,760653.41,685046.58,Low,3658506.97
POL0000092,LOC0000092,BS93 5WW,51.35144368099977,-2.742783950970684,South West,UK,Residential,Timber,1907,822197.32,129379.17,0.0,Low,951576.49
POL0000093,LOC0000093,GL38 1KE,51.283275575429265,-2.288633536755791,South West,UK,Residential,Timber,1914,597526.59,117065.78,0.0,Medium,714592.37
POL0000094,LOC0000094,HU72 8FG,53.61977202574658,-1.227326978576867,Yorkshire and the Humber,UK,Residential,Timber,1981,336471.75,46673.56,0.0,Low,383145.31
POL0000095,LOC0000095,PA51 4HH,55.95861974303276,-3.3863768266053293,Scotland,UK,Residential,Masonry,1967,258968.92,37728.73,0.0,Low,296697.65
POL0000096,LOC0000096,ST31 5UJ,52.65935402040835,-2.166832491394785,West Midlands,UK,Residential,Timber,1953,403045.78,45350.29,0.0,Low,448396.07
POL0000097,LOC0000097,ST2 1ZY,52.664891531403896,-1.809564073947122,West Midlands,UK,Residential,Masonry,1978,706375.84,93604.56,0.0,Medium,799980.4
POL0000098,LOC0000098,CH39 8EA,53.313829087054266,-2.0417187701728676,North West,UK,Public Sector,Reinforced Concrete,1906,966496.28,228122.78,98782.0,Low,1293401.06
POL0000099,LOC0000099,W47 2JU,51.660245123192816,0.31225745020778395,Greater London,UK,Retail,Masonry,1963,1594071.14,604407.67,718710.29,High,2917189.1
POL0000100,LOC0000100,N83 5CT,51.7777211634746,0.05908412787598749,Greater London,UK,Residential,Reinforced Concrete,1961,468201.87,60745.69,0.0,Medium,528947.56
POL0000101,LOC0000101,SE93 3MC,51.19147453366154,0.8028630555061416,Greater London,UK,Residential,Steel Frame,2016,471340.81,67796.41,0.0,Very High,539137.22
POL0000102,LOC0000102,AL9 2TS,51.84748746089989,1.0783200062272775,East of England,UK,Residential,Masonry,1923,629948.23,128791.98,0.0,Medium,758740.21
POL0000103,LOC0000103,OX20 8ZG,51.57525946872817,-1.4242741015428235,South East,UK,Industrial,Masonry,2005,12256507.15,6046547.34,5715051.24,Medium,24018105.73
POL0000104,LOC0000104,WV81 3CM,52.45139573711402,-1.9203260967729634,West Midlands,UK,Retail,Mixed,1978,1072400.96,373116.28,517860.11,Low,1963377.35
POL0000105,LOC0000105,SR53 5EV,55.34386316042694,-1.8888581421064803,North East,UK,Residential,Masonry,1966,801864.28,101659.08,0.0,Low,903523.36
POL0000106,LOC0000106,RG89 1DC,51.38115539820119,-1.86580644990808,South East,UK,Commercial,Steel Frame,1986,1549078.23,410913.01,243554.26,Medium,2203545.5
POL0000107,LOC0000107,PR33 4VG,53.966533582074604,-2.649377932347627,North West,UK,Commercial,Masonry,1959,459206.91,180892.2,115020.7,High,755119.81
POL0000108,LOC0000108,BA2 8FR,51.546035041986976,-2.626434975294308,South West,UK,Residential,Reinforced Concrete,1942,176622.43,18311.26,0.0,High,194933.69
POL0000109,LOC0000109,OX25 7UM,51.427059729300666,-0.6703524457490675,South East,UK,Residential,Steel Frame,1970,132968.62,10956.06,0.0,Low,143924.68
POL0000110,LOC0000110,E66 5KM,51.97515348888501,-0.032032405422043136,Greater London,UK,Commercial,Mixed,1901,1562600.38,489661.94,325212.01,Medium,2377474.33
POL0000111,LOC0000111,OX27 1CV,51.63792184493655,-0.8531212160437245,South East,UK,Residential,Reinforced Concrete,1932,222907.83,31991.08,0.0,Low,254898.91
POL0000112,LOC0000112,EC27 5WZ,51.792108798700575,-0.3035082242048043,Greater London,UK,Residential,Timber,1981,239914.48,48402.01,0.0,Medium,288316.49
POL0000113,LOC0000113,DE4 4YM,53.2559093552366,-0.736110051053994,East Midlands,UK,Residential,Masonry,1941,271529.4,42554.14,0.0,Low,314083.54
POL0000114,LOC0000114,DD17 4RR,56.25641036243121,-3.4391561895878606,Scotland,UK,Retail,Masonry,1958,1007759.9,487769.82,311047.15,Low,1806576.87
POL0000115,LOC0000115,AL34 8HW,52.19336546241358,0.8085974557365653,East of England,UK,Residential,Masonry,1998,440567.47,37050.52,0.0,Very High,477617.99
POL0000116,LOC0000116,LD16 4KN,51.097764227447875,-2.573030320927314,Wales,UK,Residential,Masonry,1959,292542.42,27743.69,0.0,Low,320286.11
POL0000117,LOC0000117,DD29 1WX,55.94986257061939,-3.0804074027102057,Scotland,UK,Commercial,Timber,1938,2521013.04,502485.25,920885.3,High,3944383.59
POL0000118,LOC0000118,NW74 3JN,95.0,200.0,Greater London,UK,Public Sector,Reinforced Concrete,1978,431239.65,93693.68,58050.56,Very High,582983.89
POL0000119,LOC0000119,DL92 4YF,54.80917163206706,-1.5345024086992363,North East,UK,Residential,Masonry,1900,372002.92,65999.09,0.0,High,438002.01
POL0000120,LOC0000120,DY13 1DR,95.0,200.0,West Midlands,UK,Residential,Masonry,1989,193918.26,23514.63,0.0,Low,217432.89
POL0000121,LOC0000121,PA78 6SF,56.050382724547745,-3.316370022378923,Scotland,UK,Residential,Timber,1932,298730.01,61428.86,0.0,Medium,360158.87
POL0000122,LOC0000122,NE64 2TR,55.11724959854872,-1.0543235107733553,North East,UK,Retail,Reinforced Concrete,1940,1011828.05,466456.03,446011.57,Low,1924295.65
POL0000123,LOC0000123,PO59 3ZA,51.65184104388292,-0.6704740824638826,South East,UK,Residential,Masonry,1904,226599.07,28646.72,0.0,Low,255245.79
POL0000124,LOC0000124,WC23 5PP,51.589524591805855,-0.6987989264478487,Greater London,UK,Commercial,Masonry,1988,5554127.61,2056259.78,1052224.82,Medium,8662612.21
POL0000125,LOC0000125,RH1 4PX,51.16199337142326,-0.8052471957477395,South East,UK,Residential,Masonry,1987,485202.73,57605.72,0.0,High,542808.45
POL0000126,LOC0000126,BB74 1ZU,53.47773706545118,-2.0754597031403255,North West,UK,Residential,Masonry,1995,459731.2,57884.4,0.0,High,517615.6
POL0000127,LOC0000127,EH82 3WX,56.42269855699634,-2.912406320292853,Scotland,UK,Residential,Steel Frame,1972,128204.18,21136.29,0.0,Medium,149340.47
POL0000128,LOC0000128,SA72 5CA,51.83408813760799,-3.1431210720011227,Wales,UK,Residential,Steel Frame,1958,386803.48,46217.64,0.0,Medium,433021.12
POL0000129,LOC0000129,NW83 4XB,51.281179610304356,-0.14958914050144959,Greater London,UK,Residential,Reinforced Concrete,1988,219097.78,47414.51,0.0,Low,266512.29
POL0000130,LOC0000130,WV35 2HH,52.26086949215864,-1.2982479164264698,West Midlands,UK,Residential,Reinforced Concrete,1936,240756.55,41451.51,0.0,Low,282208.06
POL0000131,LOC0000131,L46 7KD,53.70210950142993,-2.044805251281254,North West,UK,Commercial,Reinforced Concrete,1989,1199578.61,276789.39,366302.0,Medium,1842670.0
POL0000132,LOC0000132,RG89 2UV,51.80056409662387,-1.7457214375188257,South East,UK,Retail,Timber,2004,373599.89,190604.29,108452.06,Low,672656.24
POL0000133,LOC0000133,SE46 3ZE,51.67187862637594,-0.6256453980356615,Greater London,UK,Residential,Masonry,1959,110457.16,15783.38,0.0,Medium,126240.54
POL0000134,LOC0000134,OX80 4ZX,51.45246840442962,-1.0965488851375416,South East,UK,Commercial,Masonry,1943,542725.3,87246.08,150759.0,Medium,780730.38
POL0000135,LOC0000135,NG1 2CP,53.140086251387146,-1.0713888301948369,East Midlands,UK,Industrial,Timber,1964,3250910.07,1439737.11,2101665.26,Medium,6792312.44
POL0000136,LOC0000136,OX18 6ZN,51.8311328086113,-1.2068209211543932,South East,UK,Residential,Reinforced Concrete,2013,423704.99,37966.04,0.0,Very High,461671.03
POL0000137,LOC0000137,B43 3CR,52.68475202909732,-1.8287551775784439,West Midlands,UK,Residential,Timber,1977,240366.89,21139.84,0.0,Medium,261506.73
POL0000138,LOC0000138,TR94 5UC,50.99661872437997,-2.9369742542387525,South West,UK,Commercial,Mixed,2015,1336132.69,547661.08,159109.48,High,2042903.25
POL0000139,LOC0000139,M87 2BM,53.43883415061379,-1.8199288690411435,North West,UK,Residential,Masonry,1929,263841.39,31918.47,0.0,Low,295759.86
POL0000140,LOC0000140,BT91 5CT,54.72714245611599,-6.373750313074672,Northern Ireland,UK,Residential,Masonry,1927,358645.65,60729.72,0.0,Medium,419375.37
POL0000141,LOC0000141,LN28 4FA,52.915511456146795,-0.3913335494586485,East Midlands,UK,Residential,Reinforced Concrete,2002,172081.16,26330.99,0.0,High,198412.15
POL0000142,LOC0000142,BN20 7GB,51.485642533755446,-1.1024837185275103,South East,UK,Residential,Reinforced Concrete,1990,318919.57,40723.72,0.0,Medium,359643.29
POL0000143,LOC0000143,B69 4GH,52.62388709941174,-1.6003106297588514,West Midlands,UK,Residential,Masonry,2015,572126.23,125027.32,0.0,Low,697153.55
POL0000144,LOC0000144,OX49 8HR,51.32677286270559,-0.7871215857388538,South East,UK,Residential,Masonry,2018,1170803.12,235205.46,0.0,Medium,1406008.58
POL0000145,LOC0000145,SO59 6AA,51.36241094093218,-0.7047555113048134,South East,UK,Commercial,Masonry,2023,1595229.39,602742.21,400485.52,Low,2598457.12
POL0000146,LOC0000146,E14 1YG,51.554714084231954,0.05554777428009905,Greater London,UK,Residential,Masonry,2004,513341.67,97538.51,0.0,Low,610880.18
POL0000147,LOC0000147,YO12 5DB,53.5882286070731,-1.8611888259476865,Yorkshire and the Humber,UK,Residential,Masonry,1908,398127.49,80320.22,0.0,Low,478447.71
POL0000148,LOC0000148,WV27 8MA,52.75093924530463,-1.9205706249264878,West Midlands,UK,Residential,Masonry,1931,228404.55,26766.93,0.0,Medium,255171.48
POL0000149,LOC0000149,SE12 7GG,51.587009727787816,-0.24403026229287744,Greater London,UK,Public Sector,Timber,1941,4668314.27,1480138.38,869096.19,Medium,7017548.84
POL0000150,LOC0000150,OX80 4WR,51.706143496723826,-1.2090677924112698,South East,UK,Residential,Timber,1933,121567.33,18821.0,0.0,High,140388.33
POL0000151,LOC0000151,DL56 7KN,54.94033165282775,-1.31912273117281,North East,UK,Residential,Timber,1967,509360.24,57242.72,0.0,Low,566602.96
POL0000152,LOC0000152,GU9 1EZ,51.782930955766,-1.1771285305901396,South East,UK,Residential,Timber,1917,389689.39,76195.97,0.0,Low,465885.36
POL0000153,LOC0000153,EC76 7NE,52.055911514947645,-0.008568156396425788,Greater London,UK,Residential,Steel Frame,1939,429199.35,90498.01,0.0,Medium,519697.36
POL0000154,LOC0000154,DY70 3BD,52.19418008669355,-1.7501602215358123,West Midlands,UK,Residential,Masonry,1957,134984.19,20464.85,0.0,Low,155449.04
POL0000155,LOC0000155,BT95 5ZG,54.49006021994463,-5.765153974870393,Northern Ireland,UK,Retail,Masonry,1947,544144.24,137754.77,131383.08,Medium,813282.09
POL0000156,LOC0000156,BN73 2NW,51.44250025065511,-0.9498759977277449,South East,UK,Commercial,Masonry,1915,1669097.51,310596.67,481585.39,High,2461279.57
POL0000157,LOC0000157,CM67 8MH,51.98525385455588,1.0938232676722168,East of England,UK,Residential,Masonry,1969,595449.94,90431.33,0.0,Low,685881.27
POL0000158,LOC0000158,BH10 1CM,51.13078433719772,-3.009230660253898,South West,UK,Residential,Masonry,1952,381652.97,44056.85,0.0,Medium,425709.82
POL0000159,LOC0000159,PO80 3VJ,51.5573608977613,-0.3690191860723715,South East,UK,Residential,Masonry,1993,711868.98,149498.63,0.0,Low,861367.61
POL0000160,LOC0000160,GL95 6TH,51.35577393282197,-2.321530517372493,South West,UK,Residential,Masonry,1974,319301.82,34560.4,0.0,Medium,353862.22
POL0000161,LOC0000161,CH62 6PN,53.781335249521796,-1.9330199138282538,North West,UK,Commercial,Steel Frame,2002,920785.83,182020.28,217753.47,Medium,1320559.58
POL0000162,LOC0000162,LU82 3EJ,52.15336167903136,0.3030022474662517,East of England,UK,Residential,Mixed,1902,237168.52,40087.82,0.0,Medium,277256.34
POL0000163,LOC0000163,IP39 6SY,51.62238668161202,0.6177206102042906,East of England,UK,Residential,Mixed,1963,183510.05,30707.4,0.0,Low,214217.45
POL0000164,LOC0000164,CV51 7ZY,52.81606446319741,-2.317583074209535,West Midlands,UK,Residential,Reinforced Concrete,1944,621440.66,49921.33,0.0,Low,671361.99
POL0000165,LOC0000165,SE32 3TT,51.70325875730525,-0.4886579614197114,Greater London,UK,Residential,Steel Frame,2018,133305.3,28808.86,0.0,Medium,162114.16
POL0000166,LOC0000166,DD32 4CX,55.98300032138831,-2.919339186621093,Scotland,UK,Commercial,Mixed,1955,1841530.59,724075.98,193519.47,Medium,2759126.04
POL0000167,LOC0000167,GU16 5JV,51.269841277685245,-0.9133158213351726,South East,UK,Residential,Steel Frame,2000,190097.34,18727.2,0.0,High,208824.54
POL0000168,LOC0000168,SE49 7DY,51.390974425716905,0.14035649039650716,Greater London,UK,Commercial,Timber,1965,1420891.51,213691.44,435238.66,High,2069821.61
