postcode,region,location_count,total_tiv,avg_risk_score
WC26 7MG,Greater London,1,43892190.74,52.792
HD33 1DM,Yorkshire and the Humber,1,43638900.34,26.387
CM91 5CA,East of England,1,43207213.65,52.745
B32 5XE,West Midlands,1,43051967.48,52.734
LS36 8SV,Yorkshire and the Humber,1,41964013.43,78.985
,North West,14,41950015.68,28.568214285714284
LE34 1HB,East Midlands,1,40920622.85,105.163
BS82 5UT,South West,1,40490082.0,52.55
BL73 1DR,North West,1,40329422.73,26.269
WN76 5KR,North West,1,40222337.53,52.53
SW70 6DM,Greater London,1,40037135.27,52.516
PR18 6ZR,North West,1,39948411.1,26.255
BT87 5RK,Northern Ireland,1,39919483.17,26.254
CM8 6KR,East of England,1,39900181.65,52.506
BD63 2YW,Yorkshire and the Humber,1,39852369.49,52.502
DY35 3ZF,West Midlands,1,39795326.55,26.249
CV6 7DH,West Midlands,1,39716818.28,26.246
PL60 1SB,South West,1,38341176.07,78.579
WV44 8MW,West Midlands,1,37842879.2,38.388
W93 7MY,Greater London,1,37821129.6,78.518
DY18 2WX,West Midlands,1,37729871.46,78.507
CM48 3XA,East of England,1,37524985.42,52.322
BT48 5GC,Northern Ireland,1,37487693.39,52.319
GU84 4BY,South East,1,37432016.97,78.471
G21 1WA,Scotland,1,36855457.14,104.535
BB97 8EE,North West,1,36445075.63,20.894
N96 7HK,Greater London,1,36323436.53,26.112
W4 1NN,Greater London,1,36265412.37,104.438
OX19 6RB,South East,1,36037034.57,26.1
WC13 5JR,Greater London,1,36034706.17,104.4
RG24 2MD,South East,1,35691105.55,26.086
LD13 6FY,Wales,1,35386959.69,26.073
NN28 1AY,East Midlands,1,35148188.59,52.125
ST54 4FT,West Midlands,1,35140475.99,52.125
WS73 8RY,West Midlands,1,35090188.26,52.12
G96 8TX,Scotland,1,34896211.78,104.207
BH90 5NA,South West,1,34849262.63,26.05
BL3 5RS,North West,1,34039425.25,78.044
NW96 1BH,Greater London,1,33886976.59,52.016
WS60 2JM,West Midlands,1,33791270.9,26.004
SA94 1YG,Wales,1,33684994.63,25.999
SE97 6MR,Greater London,1,33462289.58,103.956
LS11 3XD,Yorkshire and the Humber,1,33332126.83,51.966
BL37 5PS,North West,1,33279826.6,51.961
WV20 2DA,West Midlands,1,33146618.05,25.975
DD43 1JF,Scotland,1,32457892.06,51.886
HD75 8BE,Yorkshire and the Humber,1,32146748.97,25.929
SW83 8BM,Greater London,1,31783376.8,51.823
,South West,9,31757734.82,26.16422222222222
SW48 7PB,Greater London,1,31755487.44,51.821
S88 2ZA,Yorkshire and the Humber,1,31721788.33,103.635
BT44 2KH,Northern Ireland,1,31706522.53,77.724
GU53 7EP,South East,1,31616739.11,25.904
EX8 3SZ,South West,1,31492226.8,51.796
RG76 8HS,South East,1,31377267.52,25.892
E97 3DT,Greater London,1,31229168.88,103.541
EC45 1WK,Greater London,1,31158141.61,51.764
BS30 3MV,South West,1,31049564.23,51.753
BH59 1YE,South West,1,30856011.82,77.602
EC91 6HT,Greater London,1,30830431.09,25.866
LN32 4TB,East Midlands,1,30522632.31,103.404
NG78 6MK,East Midlands,1,30415972.63,25.846
,Wales,7,30215299.12,35.62
LE31 6GA,East Midlands,1,30128524.06,25.831
CM1 5AU,East of England,1,30093379.3,25.83
EX45 2KB,South West,1,29940656.2,25.822
WS96 6SJ,West Midlands,1,29934599.96,77.465
PO35 3PF,South East,1,29906709.15,51.641
ST70 6ZS,West Midlands,1,29817216.4,25.816
N25 5CK,Greater London,1,29773802.01,25.814
EX70 1PG,South West,1,29629682.81,25.806
CF45 2VV,Wales,1,29590788.67,25.804
ST77 3FP,West Midlands,1,29510937.89,25.8
NE30 2WJ,North East,1,29292902.07,25.789
RG49 8XZ,South East,1,29274862.76,77.365
NN29 2PP,East Midlands,1,29211502.65,77.355
LS59 7FN,Yorkshire and the Humber,1,29028520.2,77.327
GU43 4XY,South East,1,28983266.2,51.547
HU53 1ND,Yorkshire and the Humber,1,28779031.29,77.288
G52 3SH,Scotland,1,28541156.56,51.501
SW17 2AE,Greater London,1,28357094.0,25.741
OX9 5PE,South East,1,28348518.46,25.74
RG91 2PD,South East,1,28309429.67,77.214
BL96 5YE,North West,1,28236193.25,51.468
N62 7JE,Greater London,1,28222371.31,25.733
M51 1TF,North West,1,27855371.64,51.428
B28 4ZE,West Midlands,1,27725723.75,25.707
HG1 7ZF,Yorkshire and the Humber,1,27578131.03,51.398
NW22 8ER,Greater London,1,27562716.82,51.396
GL63 6EG,South West,1,27379367.81,25.688
SE48 2EG,Greater London,1,27205728.74,25.678
WA76 8UC,North West,1,27132431.64,77.023
WC41 3GR,Greater London,1,27056775.99,25.67
HD70 7DD,Yorkshire and the Humber,1,26653733.28,51.295
LU94 8PR,East of England,1,26617788.88,51.291
NW83 7JB,Greater London,1,26430952.81,25.635
DE8 4GE,East Midlands,1,26196004.19,25.622
NR87 5YW,East of England,1,26155411.64,102.477
HU24 2RT,Yorkshire and the Humber,1,26085225.04,25.615
ST39 7MM,West Midlands,1,26015463.69,25.611
N69 6XK,Greater London,1,25839743.09,51.202
SO19 6HR,South East,1,25781283.79,51.195
M70 7XT,North West,1,25727475.89,25.595
CO85 7WA,East of England,1,25717909.43,25.594
PO9 1BE,South East,1,25706615.27,51.187
NR74 6GU,East of England,1,25678191.14,25.592
L4 1FS,North West,1,25514993.39,37.521
EC11 8VK,Greater London,1,25248822.44,51.133
BS86 1YU,South West,1,24795876.71,25.539
SW16 4SS,Greater London,1,24698035.61,51.067
DD14 1RZ,Scotland,1,24661037.16,51.062
SW63 2XA,Greater London,1,24628252.31,51.058
LU11 7RG,East of England,1,24483698.36,25.52
LD51 7TE,Wales,1,24460950.81,25.519
DD28 2VR,Scotland,1,24432241.61,25.517
EC93 8WC,Greater London,1,24368509.39,25.513
IV81 1HR,Scotland,1,24367615.71,25.513
EC7 2PH,Greater London,1,24325582.93,25.511
PO59 8HC,South East,1,24306425.22,25.509
BN69 7AA,South East,1,24199031.29,25.503
RG54 8DH,South East,1,24061238.67,25.494
OX20 8ZG,South East,1,24018105.73,50.983
B25 7KX,West Midlands,1,23860142.36,25.482
SO70 3TR,South East,1,23778030.86,50.953
EH90 3GT,Scotland,1,23606228.81,76.397
NR66 6GZ,East of England,1,23536948.35,50.922
WC36 6GX,Greater London,1,23459792.42,50.912
SE43 5YV,Greater London,1,23357129.24,50.899
BA35 5HF,South West,1,23346224.3,50.898
WC57 3EU,Greater London,1,23296843.75,20.357
CM36 1NZ,East of England,1,23288567.64,101.781
BT72 3KA,Northern Ireland,1,23240834.86,76.326
PO18 6XZ,South East,1,23208698.01,25.44
NW77 8KA,Greater London,1,23098670.24,25.433
RG77 5SJ,South East,1,23098665.58,76.299
WC36 5KB,Greater London,1,23063967.07,50.861
EX20 2SF,South West,1,22963764.07,25.424
LS59 1DR,Yorkshire and the Humber,1,22799307.76,76.24
PL55 5HB,South West,1,22776387.31,76.236
HU35 7JY,Yorkshire and the Humber,1,22694253.5,25.406
BL69 4TJ,North West,1,22669229.65,25.405
EC37 7KD,Greater London,1,22637563.88,50.805
NR91 8SP,East of England,1,22499698.22,76.181
CO34 8YE,East of England,1,22479877.13,25.392
NW89 6ER,Greater London,1,22423406.91,25.388
NG44 8CY,East Midlands,1,22402484.89,25.387
GU24 4BK,South East,1,22392725.13,25.386
DN26 7VM,Yorkshire and the Humber,1,22360813.78,25.384
LD74 6DJ,Wales,1,22348714.82,76.15
LD77 4JW,Wales,1,22236643.44,25.376
,Yorkshire and the Humber,11,22222726.74,29.153
RG28 8PR,South East,1,22121384.78,25.368
M83 8JV,North West,1,22070316.87,25.365
W43 1ZR,Greater London,1,22055976.37,76.091
N73 7TA,Greater London,1,22035030.58,50.724
BT81 8CH,Northern Ireland,1,21898992.51,25.353
NR47 3FH,East of England,1,21891111.63,25.352
NW70 3XW,Greater London,1,21880122.79,76.055
NN95 8NF,East Midlands,1,21848938.8,25.349
N60 6AM,Greater London,1,21716704.56,25.34
SA71 1ZC,Wales,1,21561879.87,25.33
SY54 6ZN,Wales,1,21535080.79,50.656
WV19 6NM,West Midlands,1,21524378.36,25.327
BS75 4JT,South West,1,21476445.1,50.647
DE28 1HY,East Midlands,1,21474009.36,50.647
SW87 6HS,Greater London,1,21454465.46,25.322
SE61 8DM,Greater London,1,21338594.15,25.314
WN35 7KX,North West,1,21304696.4,50.623
WV98 5VY,West Midlands,1,21103055.99,75.892
BT82 8PK,Northern Ireland,1,21065524.45,101.179
WN90 5MV,North West,1,21048584.74,25.294
LL13 8EU,Wales,1,21036085.27,25.293
WV82 2YM,West Midlands,1,21033765.03,25.292
CV79 8DS,West Midlands,1,20950099.17,25.286
YO64 4PN,Yorkshire and the Humber,1,20942583.17,101.144
G62 8GU,Scotland,1,20935595.09,25.285
BS90 7GK,South West,1,20901445.8,25.283
SE95 3KX,Greater London,1,20893696.53,101.13
NR24 7TW,East of England,1,20890291.68,75.847
W93 4RH,Greater London,1,20881935.29,50.563
WN35 3AB,North West,1,20813522.92,50.553
DD79 7AJ,Scotland,1,20796109.96,25.275
W56 3WK,Greater London,1,20780957.18,75.823
LS9 6BK,Yorkshire and the Humber,1,20758742.71,25.273
S30 1JG,Yorkshire and the Humber,1,20722219.92,75.81
NN82 1FG,East Midlands,1,20668692.38,25.266
ST42 1PR,West Midlands,1,20665074.03,25.266
WA20 1SM,North West,1,20581468.72,50.52
LE4 3EM,East Midlands,1,20560989.24,25.258
EX94 4VV,South West,1,20560680.17,50.517
CH63 5FF,North West,1,20485185.18,101.011
SA35 8MJ,Wales,1,20406497.63,75.741
PR87 8WE,North West,1,20362613.91,25.244
WC73 1DF,Greater London,1,20275313.57,50.475
WS80 8CY,West Midlands,1,20273865.51,50.475
EX66 8NZ,South West,1,20271863.45,25.237
CO54 6XN,East of England,1,20248665.12,50.471
DD29 6CP,Scotland,1,20248071.75,25.235
PR3 1PY,North West,1,20232771.12,50.468
DY85 5DR,West Midlands,1,20202789.25,50.464
IV87 2ZW,Scotland,1,20175094.88,60.552
DE43 8GJ,East Midlands,1,20145908.17,25.228
WC77 4XR,Greater London,1,20132031.03,50.453
SW72 2PH,Greater London,1,20083347.44,50.446
L81 5XY,North West,1,20048033.94,75.661
BN98 5GX,South East,1,20020264.37,50.437
PA18 3KM,Scotland,1,19955278.02,25.214
DE69 5BB,East Midlands,1,19899372.14,75.628
WN83 4KP,North West,1,19795573.56,50.403
N43 8YG,Greater London,1,19626812.06,75.566
BB55 7RZ,North West,1,19513386.59,25.18
NW91 4CK,Greater London,1,19392495.1,25.171
BB94 5PN,North West,1,19284785.04,25.162
EH18 2WY,Scotland,1,19233209.49,25.158
B34 6XU,West Midlands,1,19227304.63,50.316
IV38 7NU,Scotland,1,19171049.08,73.783
DH93 1WA,North East,1,19128270.71,25.15
NN2 1YW,East Midlands,1,19127849.19,25.15
E75 6NK,Greater London,1,19099507.73,50.296
SW67 4WB,Greater London,1,19099042.65,75.443
LD20 5WP,Wales,1,19073822.1,50.291
W10 5ZS,Greater London,1,19033678.83,25.143
SE27 6TR,Greater London,1,19014686.16,50.282
DD16 8TA,Scotland,1,18994936.97,50.279
G34 1TC,Scotland,1,18939838.97,25.135
WA45 4WD,North West,1,18908960.47,75.398
N90 2NN,Greater London,1,18901857.24,50.264
OX86 8CW,South East,1,18892895.75,25.131
EX94 7FC,South West,1,18870468.49,20.104
DY91 7AT,West Midlands,1,18862615.29,25.129
RG15 8FU,South East,1,18858342.2,100.515
E86 7KF,Greater London,1,18844970.12,50.255
E3 5US,Greater London,1,18812816.71,50.25
LL1 1DJ,Wales,1,18685493.82,75.345
LL11 2AE,Wales,1,18643320.81,75.334
NN57 8WN,East Midlands,1,18554271.98,20.083
AL10 8DA,East of England,1,18540634.18,60.248
NE24 6SP,North East,1,18494394.86,25.099
CM37 2HD,East of England,1,18357867.29,75.265
SW68 2RT,Greater London,1,18327721.35,75.258
EC90 6TY,Greater London,1,18261702.7,75.241
HU36 8KB,Yorkshire and the Humber,1,18191920.48,25.075
GU94 3NM,South East,1,18171781.9,25.073
OX19 2CM,South East,1,18141732.91,50.141
BT41 3HV,Northern Ireland,1,18048518.27,50.126
NW26 3GN,Greater London,1,18016620.79,75.181
HD76 6RB,Yorkshire and the Humber,1,17967996.36,25.056
LN64 3TR,East Midlands,1,17910022.47,25.051
BT93 2EP,Northern Ireland,1,17850588.07,50.093
L90 2FJ,North West,1,17835494.95,25.045
WV30 3ZZ,West Midlands,1,17778072.47,25.04
SE20 6GZ,Greater London,1,17768155.59,40.063
IP69 3AD,East of England,1,17750824.47,75.114
SO33 8JC,South East,1,17730727.49,40.058
ST82 2WM,West Midlands,1,17693723.56,40.053
M78 6HE,North West,1,17688732.32,50.065
EC30 5ZC,Greater London,1,17683652.12,25.032
WC64 3RY,Greater London,1,17624048.43,25.027
AL70 3AN,East of England,1,17500411.1,75.05
DY75 3UY,West Midlands,1,17439252.55,25.011
SR29 1GP,North East,1,17351771.02,25.004
E10 4KN,Greater London,1,17326656.34,50.003
RG11 7KH,South East,1,17325334.26,100.006
EC23 3ZU,Greater London,1,17309829.5,25.0
G10 5ZM,Scotland,1,17309789.06,25.0
BB25 2TP,North West,1,17250328.44,24.995
CH39 5HU,North West,1,17246120.99,24.995
CH44 5JK,North West,1,17201914.41,39.985
W60 3MV,Greater London,1,17163927.67,49.975
BH54 3RE,South West,1,17156169.31,24.987
RG63 2XE,South East,1,17144067.96,49.971
WN51 6MC,North West,1,17129256.83,24.984
CO72 1ER,East of England,1,17104765.5,24.982
WC10 5UW,Greater London,1,17085299.62,49.961
G74 5SN,Scotland,1,17084579.24,24.981
BT76 3UP,Northern Ireland,1,17080224.18,74.94
BT74 2CZ,Northern Ireland,1,17080201.46,49.96
DY10 2JT,West Midlands,1,17078603.07,24.98
CV28 7YA,West Midlands,1,17073980.04,74.939
TS8 6HT,North East,1,17028693.97,99.902
PA11 8VK,Scotland,1,17016000.89,24.974
GL12 7BN,South West,1,16915097.12,49.931
LN80 8NN,East Midlands,1,16907116.76,49.93
OX50 6KY,South East,1,16840101.25,74.877
CB69 1RR,East of England,1,16826991.95,74.873
GL13 8JE,South West,1,16788791.76,24.954
NG35 4YR,East Midlands,1,16784821.44,74.862
W49 7KH,Greater London,1,16779582.25,24.954
CF89 3MA,Wales,1,16738625.64,24.95
RH31 1YD,South East,1,16706476.04,24.947
DN95 4AU,Yorkshire and the Humber,1,16684492.18,74.835
CV93 7XW,West Midlands,1,16655293.9,24.942
G26 1RJ,Scotland,1,16645472.07,24.941
NG50 2VF,East Midlands,1,16624647.92,24.94
WC29 5JW,Greater London,1,16612896.68,74.816
N26 3ZW,Greater London,1,16524514.39,24.931
BH22 2XC,South West,1,16511245.29,19.943
W23 1CC,Greater London,1,16507755.03,24.929
CO48 3ZZ,East of England,1,16487262.14,24.927
NW60 6NX,Greater London,1,16486156.52,24.927
BT70 3WB,Northern Ireland,1,16423025.0,18.276
SO42 6UF,South East,1,16392746.94,49.837
W94 2XA,Greater London,1,16349303.76,49.829
WS21 7GV,West Midlands,1,16324997.83,49.825
NP41 3HS,Wales,1,16318481.71,74.735
WV73 6CJ,West Midlands,1,16267136.94,49.814
PO15 6RZ,South East,1,16177922.11,24.899
AL52 6BA,East of England,1,16164760.33,24.898
B75 2HB,West Midlands,1,16162149.66,59.753
E45 7ZW,Greater London,1,16154012.68,74.69
SO52 6YV,South East,1,16137663.42,74.685
TR41 6HA,South West,1,16091900.24,49.781
CO35 5WU,East of England,1,16089205.34,49.781
EC43 8ZG,Greater London,1,16052612.61,49.774
DY44 3BS,West Midlands,1,15988153.46,74.643
CO20 1HF,East of England,1,15944004.77,24.877
NW97 7AH,Greater London,1,15940341.71,49.753
WV54 4NT,West Midlands,1,15899669.1,74.618
M29 6XD,North West,1,15867713.66,49.739
NR57 8EF,East of England,1,15856651.61,49.737
M53 1TH,North West,1,15834671.59,49.733
L55 7WA,North West,1,15829952.35,99.464
WN14 4UN,North West,1,15722192.28,99.424
LN79 8DW,East Midlands,1,15679230.8,24.852
BT30 6JA,Northern Ireland,1,15669568.11,99.403
G49 8HM,Scotland,1,15664211.68,49.701
W60 2FZ,Greater London,1,15649803.29,49.698
EC59 8GU,Greater London,1,15642077.73,39.757
,Scotland,11,15639764.620000001,24.548272727272728
NW2 3CK,Greater London,1,15637611.43,74.543
EC72 1SD,Greater London,1,15609883.3,49.69
TR60 7XT,South West,1,15595194.02,74.531
E42 7SP,Greater London,1,15581507.83,49.685
WA22 3YN,North West,1,15577151.12,24.842
BH18 2WB,South West,1,15572833.51,24.842
DN31 2CR,Yorkshire and the Humber,1,15475407.08,49.664
BT24 3SW,Northern Ireland,1,15475217.15,74.496
PO6 3DE,South East,1,15463523.56,49.662
DE19 8PK,East Midlands,1,15446819.01,24.829
BT90 5ZM,Northern Ireland,1,15442759.67,74.487
B35 5FB,West Midlands,1,15395135.16,24.824
BB94 6ZJ,North West,1,15378199.22,49.645
NW95 6RJ,Greater London,1,15357868.29,49.641
M15 3WB,North West,1,15354667.91,24.82
BB53 8AF,North West,1,15351390.78,24.82
DY68 8ZA,West Midlands,1,15320147.79,24.817
PO61 1MJ,South East,1,15317627.43,24.817
SW77 4TU,Greater London,1,15279210.04,24.813
SY19 3DX,Wales,1,15275357.6,49.625
CV81 8RJ,West Midlands,1,15268636.57,49.624
CH36 8AU,North West,1,15264033.41,74.435
NW88 2HT,Greater London,1,15225053.98,24.808
CV92 3PA,West Midlands,1,15198520.91,74.415
CO28 2RS,East of England,1,15145871.97,59.52
RH86 5AB,South East,1,15139981.27,74.398
AL59 2SM,East of England,1,15062318.92,74.375
PO75 6UK,South East,1,15060359.45,49.583
SE67 5RJ,Greater London,1,15057876.95,24.791
GU8 4YP,South East,1,15052322.85,24.791
WC54 8RC,Greater London,1,15049091.96,49.58
OX94 8UN,South East,1,15026719.58,19.83
CB58 8CG,East of England,1,15021899.57,36.355
ST19 8XS,West Midlands,1,15003439.55,49.571
EC27 5GA,Greater London,1,15000640.89,39.657
PO34 3JD,South East,1,14988389.75,49.568
DN21 7AB,Yorkshire and the Humber,1,14972329.65,36.348
LS57 6MK,Yorkshire and the Humber,1,14946649.29,24.78
SR3 8RS,North East,1,14943302.85,39.647
NW38 3MK,Greater London,1,14919246.34,49.554
CM57 3CE,East of England,1,14908178.89,49.552
EC82 7NN,Greater London,1,14897172.61,49.55
PO48 2UT,South East,1,14806881.06,99.064
LS28 7YB,Yorkshire and the Humber,1,14794077.25,49.529
L50 7MH,North West,1,14787746.89,24.764
E27 7GU,Greater London,1,14781301.09,74.29
DE64 2NE,East Midlands,1,14772985.94,24.762
WA83 7GV,North West,1,14759564.36,74.283
N54 7XZ,Greater London,1,14747487.59,74.28
W8 2ZN,Greater London,1,14738090.42,24.759
G53 6GU,Scotland,1,14733202.48,39.613
IP53 3AX,East of England,1,14716605.57,24.757
W15 5GE,Greater London,1,14706651.03,74.267
GU45 3TD,South East,1,14683676.86,24.753
W30 1ZA,Greater London,1,14661277.11,24.751
SE42 5TE,Greater London,1,14614354.99,24.746
E30 5RS,Greater London,1,14613098.56,24.746
WS28 4MR,West Midlands,1,14599465.81,24.745
RH17 6YF,South East,1,14559665.85,74.222
N58 3DZ,Greater London,1,14535314.75,24.738
BN67 6DX,South East,1,14531855.74,74.213
SO85 1AY,South East,1,14514887.21,19.789
WV21 4WW,West Midlands,1,14431641.41,24.727
SY6 5VS,Wales,1,14423200.1,24.727
WS69 1FN,West Midlands,1,14419012.26,49.452
M51 3PH,North West,1,14361440.74,19.776
NE52 3CR,North East,1,14356614.86,24.72
N79 8UR,Greater London,1,14332684.4,74.151
HD50 8UG,Yorkshire and the Humber,1,14292327.29,19.77
SW82 6PE,Greater London,1,14288010.49,49.425
SO57 3BS,South East,1,14273882.22,18.121
E75 4SD,Greater London,1,14197625.32,49.406
EC86 2DX,Greater London,1,14183393.1,49.403
GU75 1AP,South East,1,14169971.31,19.76
E62 4AN,Greater London,1,14158375.58,24.699
RH23 4GD,South East,1,14131988.65,24.696
BS86 7ZB,South West,1,14103014.56,74.079
SW88 6EP,Greater London,1,14087662.58,24.691
LE89 7NE,East Midlands,1,14075590.7,49.38
BN32 3DP,South East,1,14058559.29,24.688
S94 4PX,Yorkshire and the Humber,1,14043619.79,24.687
SW92 4RG,Greater London,1,13998473.06,98.727
OX77 4NR,South East,1,13977035.67,19.744
RG56 4SB,South East,1,13963678.75,39.485
PL43 4NT,South West,1,13952703.34,24.677
SE13 5VT,Greater London,1,13942305.02,74.027
GU26 1RX,South East,1,13931227.56,49.349
SA23 3XT,Wales,1,13918436.38,39.477
BS2 3JM,South West,1,13869568.06,98.671
BN63 3MM,South East,1,13857451.07,19.733
GL49 7SZ,South West,1,13855705.83,24.666
RH15 1PU,South East,1,13824412.5,39.461
W64 4SS,Greater London,1,13805361.61,49.322
E8 6BM,Greater London,1,13773181.62,24.657
BT77 7NM,Northern Ireland,1,13719113.34,24.651
SA76 4FM,Wales,1,13715877.3,49.302
GU64 1TD,South East,1,13713353.95,24.651
EC25 8FW,Greater London,1,13691628.18,49.297
DY12 2GC,West Midlands,1,13674635.35,49.293
N64 7NK,Greater London,1,13648309.53,32.858
NW10 8VG,Greater London,1,13629804.51,24.642
N40 4HE,Greater London,1,13626194.58,73.924
HD56 6WT,Yorkshire and the Humber,1,13619456.45,49.281
YO18 5VS,Yorkshire and the Humber,1,13599112.2,98.553
SW91 2HS,Greater London,1,13526876.8,49.261
SE73 7CU,Greater London,1,13516718.33,73.887
M8 5RE,North West,1,13505462.91,24.628
NW4 5RT,Greater London,1,13502867.94,49.255
W54 1FV,Greater London,1,13497324.94,73.881
BA79 5FM,South West,1,13491138.51,49.253
CM62 6AN,East of England,1,13460462.78,39.397
B69 6VS,West Midlands,1,13460066.82,24.623
BB27 2RT,North West,1,13444320.17,19.697
SA39 7YA,Wales,1,13437941.98,73.861
WS3 5YU,West Midlands,1,13418801.71,49.237
EC11 3NS,Greater London,1,13356385.62,24.611
BD91 2KJ,Yorkshire and the Humber,1,13345963.75,19.688
RG61 7HN,South East,1,13309681.54,98.424
LU16 1MA,East of England,1,13301193.75,49.21
EC63 5RD,Greater London,1,13286297.58,49.207
PA25 4YS,Scotland,1,13283822.28,49.206
TS17 1KZ,North East,1,13272659.72,59.044
SE59 8CF,Greater London,1,13267227.77,24.601
,North East,6,13255735.65,23.877166666666668
DL75 8FU,North East,1,13237770.11,19.678
OX44 1WT,South East,1,13219391.73,19.677
BT6 2PG,Northern Ireland,1,13200873.36,49.187
L12 8VD,North West,1,13194795.83,24.593
DH5 3YC,North East,1,13178562.58,24.591
TR5 2AN,South West,1,13162498.0,73.768
SE3 1MZ,Greater London,1,13154199.87,24.588
RH28 7YG,South East,1,13150813.16,19.67
WC98 3MM,Greater London,1,13145367.34,24.587
SE20 2VF,Greater London,1,13094384.25,49.163
AL31 4ZA,East of England,1,13084137.52,24.58
WA73 8EH,North West,1,13082805.38,24.58
BL46 6MB,North West,1,13063278.13,49.156
BN18 8EF,South East,1,13052670.05,36.046
TR79 6NC,South West,1,13038521.39,73.725
LE19 5RD,East Midlands,1,13015827.03,39.316
BT85 8RK,Northern Ireland,1,13002289.02,39.314
DY92 4ZY,West Midlands,1,12999480.82,73.712
WN64 4HV,North West,1,12979027.96,73.705
SO3 5TY,South East,1,12905371.79,24.56
NW52 7KW,Greater London,1,12888089.94,24.558
DY88 4HU,West Midlands,1,12863243.53,24.555
E25 2XM,Greater London,1,12833363.29,73.654
L38 5UA,North West,1,12823096.8,49.1
PO66 7XJ,South East,1,12792377.98,19.637
DD62 8UP,Scotland,1,12765455.16,24.543
BS8 1AB,South West,1,12755805.79,24.542
NN15 7RX,East Midlands,1,12744594.98,98.164
IP4 1VJ,East of England,1,12735767.27,49.08
CO71 3GE,East of England,1,12731868.56,24.539
PR24 5ZZ,North West,1,12689004.41,24.534
BN5 2EW,South East,1,12645618.66,24.529
NW23 1MM,Greater London,1,12641675.41,24.529
WS93 1FB,West Midlands,1,12637527.24,39.245
SE91 2ZV,Greater London,1,12620737.76,98.105
N34 3EA,Greater London,1,12587679.48,24.522
M59 6UD,North West,1,12579596.21,24.521
NW10 8MX,Greater London,1,12571612.47,49.041
PR23 2UD,North West,1,12534328.04,98.064
SO16 4RW,South East,1,12525405.34,73.545
SE91 8WB,Greater London,1,12507470.92,58.831
OX78 2GR,South East,1,12475893.77,73.527
RG24 5BX,South East,1,12461237.14,24.507
G20 4SR,Scotland,1,12460212.16,19.606
BA4 6BK,South West,1,12459576.62,49.014
CH28 4PB,North West,1,12457038.07,49.013
SO15 2BV,South East,1,12438118.3,49.009
BH64 2KR,South West,1,12415232.51,49.003
LS48 7KS,Yorkshire and the Humber,1,12390670.04,24.499
SW91 4XT,Greater London,1,12379653.86,24.497
HG28 6ZU,Yorkshire and the Humber,1,12371650.17,24.496
CO29 7BM,East of England,1,12336578.13,97.968
DN74 3EW,Yorkshire and the Humber,1,12316943.14,19.592
EC30 6TV,Greater London,1,12307389.89,24.489
EC65 2EZ,Greater London,1,12305997.41,48.977
SW84 3AR,Greater London,1,12264247.22,48.967
YO5 6HH,Yorkshire and the Humber,1,12261217.16,24.483
LS2 8XM,Yorkshire and the Humber,1,12255078.99,19.586
EX49 1DK,South West,1,12250108.62,24.482
NG42 1PH,East Midlands,1,12248044.71,24.481
TR50 5DS,South West,1,12239470.84,73.441
BT64 1PP,Northern Ireland,1,12219390.09,24.478
WV62 3CJ,West Midlands,1,12202253.81,24.476
NR24 3FH,East of England,1,12194076.15,24.475
L18 7XN,North West,1,12183899.76,19.579
IP96 3WE,East of England,1,12159682.59,19.576
LS90 2GK,Yorkshire and the Humber,1,12157097.49,48.94
